week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2025-08-18/2025-08-24,3527.6161446490128,3665.4550432799365,137.83889863092355,3,3.907423398093046
2025-08-25/2025-08-31,3665.4550432799365,3771.0445848933523,105.5895416134156,1,2.8806666666666203
2025-09-01/2025-09-07,3771.0445848933523,3771.0445848933523,0.0,0,0.0
2025-09-08/2025-09-14,3771.0445848933523,3771.0445848933523,0.0,0,0.0
2025-09-15/2025-09-21,3771.0445848933523,3771.0445848933523,0.0,0,0.0
2025-09-22/2025-09-28,3771.0445848933523,3802.068997217441,31.024412324088665,2,0.8227007563997191
2025-09-29/2025-10-05,3802.068997217441,3802.068997217441,0.0,0,0.0
2025-10-06/2025-10-12,3802.068997217441,3857.9156876830643,55.846690465623304,1,1.4688499999998772
2025-10-13/2025-10-19,3857.9156876830643,3857.9156876830643,0.0,0,0.0
2025-10-20/2025-10-26,3857.9156876830643,3976.4520761449703,118.53638846190618,1,3.072549999999996
2025-10-27/2025-11-02,3976.4520761449703,3976.4520761449703,0.0,0,0.0
2025-11-03/2025-11-09,3976.4520761449703,3976.4520761449703,0.0,0,0.0
2025-11-10/2025-11-16,3976.4520761449703,4065.1693729318076,88.71729678683735,1,2.2310666666664813
2025-11-17/2025-11-23,4065.1693729318076,4065.1693729318076,0.0,0,0.0
2025-11-24/2025-11-30,4065.1693729318076,4065.1693729318076,0.0,0,0.0
2025-12-01/2025-12-07,4065.1693729318076,4065.1693729318076,0.0,0,0.0
2025-12-08/2025-12-14,4065.1693729318076,4251.82177613109,186.65240319928233,2,4.591503725333546
2025-12-15/2025-12-21,4251.82177613109,4251.82177613109,0.0,0,0.0
2025-12-22/2025-12-28,4251.82177613109,4282.236474569686,30.414698438596112,1,0.7153333333334455
2025-12-29/2026-01-04,4282.236474569686,4282.236474569686,0.0,0,0.0
